worker_id,cluster,predicted_risk,confidence,priority,skill_focus,suitable_tasks,supervision,training_priority,career_path
W00014,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00015,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00016,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00017,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00018,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00019,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00020,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00021,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00022,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00023,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00024,0,High,0.8,HIGH ATTENTION,"Critical skill remediation, Certifications renewal","Lower-risk tasks initially, Building back to complex tasks",Regular - Weekly check-ins and reviews,"Immediate skill development, Safety protocols review, Risk management training","Pause advancement, Focus on skill recovery, Mentoring support"
W00025,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00026,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00027,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00028,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00029,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00030,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00031,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00032,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00033,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00034,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00035,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00036,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00037,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00038,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00039,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00040,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00041,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00042,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00043,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00044,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00045,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00046,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00047,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00048,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00049,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00050,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00051,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00052,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00053,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00054,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00055,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00056,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00057,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00058,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00059,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00060,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00061,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00062,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00063,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00064,1,High,0.65,CRITICAL - INTERVENTION REQUIRED,"Critical skill gap closure, Immediate remediation, Intensive training","Minimal work - Training focus, Very simple, supervised tasks",Constant - 1-on-1 with experienced worker,"Immediate intensive training, Safety protocols (CRITICAL), Risk management, Incident prevention","Pause all activities, Intensive development only, Transition planning if needed"
W00065,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00066,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00067,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00068,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00069,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00070,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00071,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00072,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00073,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00074,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00075,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00076,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00077,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00078,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00079,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00080,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00081,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00082,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00083,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00084,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00085,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00086,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00087,1,High,0.65,CRITICAL - INTERVENTION REQUIRED,"Critical skill gap closure, Immediate remediation, Intensive training","Minimal work - Training focus, Very simple, supervised tasks",Constant - 1-on-1 with experienced worker,"Immediate intensive training, Safety protocols (CRITICAL), Risk management, Incident prevention","Pause all activities, Intensive development only, Transition planning if needed"
W00088,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00089,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00090,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00091,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00092,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00093,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00094,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00095,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00096,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00097,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00098,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00099,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00100,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00101,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00102,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00103,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00104,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00105,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00106,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00107,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00108,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00109,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00110,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00111,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
